avg_hhi,avg_lambda,best_individual_idx,best_individual_linex,best_individual_mse,best_individual_objective,diag_aux,diag_main,horizon,horizon_name,linex,loss_section,mae,method,mse,n_forecasters,n_obs,objective_value,origin_end,origin_start,series_id
0.7619136594669017,0.4868897928268517,4.0,0.008852429318794864,6.868594019553889,6.868594019553889,0.29411764705882354,0.6661764705882353,0.0,CPI3,0.00731148395565038,mse,1.8623416376263489,RLKappaBandit,5.709486367985022,12.0,34.0,5.709486367985022,2022Q3,2014Q2,CPI3
0.08333333333333336,nan,4.0,0.008852429318794864,6.868594019553889,0.008852429318794864,,,0.0,CPI3,0.010706671291303793,linex,2.0575700882685326,Mean,8.12672489093093,12.0,34.0,0.010706671291303793,2022Q3,2014Q2,CPI3
nan,nan,4.0,0.008852429318794864,6.868594019553889,0.008852429318794864,,,0.0,CPI3,0.010430541004815708,linex,2.052153666699905,Median,7.937851100033702,12.0,34.0,0.010430541004815708,2022Q3,2014Q2,CPI3
0.08335782349203776,nan,4.0,0.008852429318794864,6.868594019553889,0.008852429318794864,,,0.0,CPI3,0.010672510863280445,linex,2.054265956179899,OGDVanilla,8.102967950118657,12.0,34.0,0.010672510863280445,2022Q3,2014Q2,CPI3
0.08334767642675842,nan,4.0,0.008852429318794864,6.868594019553889,0.008852429318794864,,,0.0,CPI3,0.010671911745035189,linex,2.0551898832249362,MWUMVanilla,8.102989136429883,12.0,34.0,0.010671911745035189,2022Q3,2014Q2,CPI3
0.08335295885311814,0.5153577941583372,4.0,0.008852429318794864,6.868594019553889,0.008852429318794864,,,0.0,CPI3,0.010654902466614628,linex,2.0534500869879597,OGDBoth,8.091103775542647,12.0,34.0,0.010654902466614628,2022Q3,2014Q2,CPI3
0.08421154127504947,0.5153577941583372,4.0,0.008852429318794864,6.868594019553889,0.008852429318794864,,,0.0,CPI3,0.009987452487028318,linex,1.9874198615746659,OGDConcOnly,7.628487834806743,12.0,34.0,0.009987452487028318,2022Q3,2014Q2,CPI3
0.08334102605042791,0.5153577941583372,4.0,0.008852429318794864,6.868594019553889,0.008852429318794864,,,0.0,CPI3,0.010669332673793167,linex,2.055113078417362,MWUMBothKL,8.101235942722239,12.0,34.0,0.010669332673793167,2022Q3,2014Q2,CPI3
0.08339671253260633,0.5153577941583372,4.0,0.008852429318794864,6.868594019553889,0.008852429318794864,,,0.0,CPI3,0.010538899787124478,linex,2.0437316020519596,MWUMConcOnlyKL,8.01121525566039,12.0,34.0,0.010538899787124478,2022Q3,2014Q2,CPI3
0.0833344063849022,nan,4.0,0.008852429318794864,6.868594019553889,0.008852429318794864,0.14705882352941177,0.0,0.0,CPI3,0.010705584368926324,linex,2.057309647712229,RLRuleBandit,8.125838682140783,12.0,34.0,0.010705584368926324,2022Q3,2014Q2,CPI3
0.08680207768664054,1.1553085806058487,4.0,0.008852429318794864,6.868594019553889,0.008852429318794864,0.5588235294117647,1.8205882352941178,0.0,CPI3,0.010303847954557854,linex,1.9946682819279289,RLKappaBandit,7.838186109405314,12.0,34.0,0.010303847954557854,2022Q3,2014Q2,CPI3
