Date,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
2015:04,0.886,1.7993,1.9,1.9558,2.0,2.0499807736088758,2.2402328917389434,2.104976595334229,2.291192061834817,2.3901972828333036,1.5833183106326085,2.978262071584359,-3.0586221566305416,-1.1991087490891505,1.0958492335317649,2.0499807736088758,2.1322068872640574,2.6648623453995723,2.8565440581030095,2.311320688785735,,,,,,0.2266510543175393,0.7686245127321856,0.3577650692370593,0.1200345384983148,-0.030267107004611216
2016:01,0.4,1.8022,2.0,1.9425,2.1,1.7416730931509579,2.142332485266556,2.214869969940677,2.1587932108547325,2.2829305977302377,0.2266510543175393,1.5833183106326083,2.978262071584359,-3.0586221566305416,-1.1991087490891505,1.7416730931509579,2.2419500821235414,2.1583262715493854,2.9470639000236005,2.0791561337576954,,,,,,-0.3121112832365269,-0.3121112832365269,0.11268559947770207,-0.0666814668884963,-0.24811816516856489
2016:02,1.9,1.6,2.1375,2.1568,2.1,1.554504513101459,2.043489804059216,2.16060873271039,2.209712229374909,2.1716057098656756,-0.3121112832365269,0.2266510543175393,1.583318310632608,2.978262071584359,-3.0586221566305416,1.554504513101459,2.3571305595532253,2.23448997060457,2.134069799648636,1.728766666632855,,,,,,2.541901548961034,2.526483163265336,2.3282043978852363,2.7249313184145363,3.237718142367574
2016:03,2.0,2.0029,2.1152,2.064,2.213,2.152462788608992,1.9421434227414198,2.103616537960475,2.164225571149361,2.208663364107912,2.541901548961034,-0.3121112832365269,0.2266510543175393,1.5833183106326079,2.978262071584359,2.152462788608992,2.3225728633200804,2.2262949025062313,2.283960656655249,2.2584888872097673,,,,,,1.6322865749415216,1.7836764529735483,1.8434555051805912,1.875368130909827,1.708739561739292
2016:04,2.2069,2.2,2.1,2.1,2.1706,1.9801339047922755,2.075139051555378,2.0226441474013375,2.1155947485729802,2.1649413373554065,1.6322865749415216,2.541901548961034,-0.3121112832365269,0.2266510543175393,1.5833183106326076,1.9801339047922755,2.0127861828243456,2.2122377470319607,2.3678097163565326,2.100035307243398,,,,,,3.0403292148365457,3.0403292148365457,2.73702123169417,2.623923398636885,2.563409554101237
2017:01,2.4901,2.1765,2.2,2.01,2.1254,2.3188800703794072,2.049847956060868,2.0597862902983017,2.039361681450721,2.1179810004141855,3.040329214836545,1.6322865749415216,2.541901548961034,-0.3121112832365269,0.2266510543175393,2.3188800703794072,2.1079944664743864,2.0329769897472483,2.2801415189586702,1.9264539758264778,,,,,,3.1474720358644737,3.1474720358644737,2.9584978475893697,2.7803822119753185,2.844817180664516
2017:02,1.56,2.2884,2.2,2.2103,2.1166,2.3599835795717605,2.173265225362967,2.0638197434722163,2.056737973090698,2.0428334010640907,3.1474720358644737,3.040329214836544,1.6322865749415216,2.541901548961034,-0.3121112832365269,2.3599835795717605,2.0265024022965967,2.095486445092692,2.027534587113714,1.7810588596292058,,,,,,-0.3120462855469075,-0.3120462855469075,0.10005842794449382,0.3860721863453431,0.46230665880599986
2017:03,1.6473,2.2,2.3,2.22,2.3,1.61048295078669,2.2013145592600876,2.1438748196052377,2.0666199084305807,2.0561327244554475,-0.3120462855469075,3.1474720358644737,3.040329214836543,1.6322865749415216,2.541901548961034,1.61048295078669,2.044486494859214,2.0712598422158774,2.109899120546561,2.085517363945148,,,,,,2.013957028142488,2.125944665241475,2.1532140371024022,2.1555294208702946,1.9259296309609208
2017:04,2.3,2.3183,2.3,2.45,2.2149,2.0767961962943837,1.9884548154852395,2.169344747124444,2.137942759927487,2.0671811053313927,2.013957028142488,-0.3120462855469075,3.1474720358644737,3.040329214836542,1.6322865749415216,2.0767961962943837,2.3425200893695792,2.099223990717603,2.04113596552804,2.0134069207463807,,,,,,3.309258644908475,3.309258644908475,3.1418890806678146,3.1186525143438226,3.220296641445497
2018:01,2.7,2.07,2.2,2.4,2.4,2.345542199596071,2.0889938808634865,2.0627645985583687,2.1629032320386337,2.1367454531495382,3.3092586449084744,2.013957028142488,-0.3120462855469075,3.1474720358644737,3.0403292148365413,2.345542199596071,2.1067300674104374,2.2018381564540777,2.055771671682236,2.2157019584413224,,,,,,3.507659483441028,3.507659483441028,3.23663918048005,3.2496518814687514,3.4134093951744493
